DATE_DEBUT,LATITUDE,LONGITUDE,MONTH,FIRE_RISK,MAX_TEMP,PRECIPITATION,WIND_SPEED,MIN_HUMIDITY,14_DAY_RAIN,14_DAY_AVG_TEMP,DAYS_SINCE_RAIN
2024-08-17,50.13256911605132,-69.9220320015675,8.0,0,27.2,0.3,12.0,45.0,32.6,21.12857142857143,1.0
2021-05-21,52.79692668255786,-79.07628265400483,5.0,0,15.2,23.8,21.3,72.0,23.0,10.057142857142855,1.0
2019-05-21,49.67141806902161,-76.86220333164673,5.0,0,12.4,0.8,27.7,49.0,34.4,8.328571428571427,1.0
2019-08-02,57.89633590378818,-67.62029561037987,8.0,0,15.0,0.1,15.0,69.0,54.9,16.750000000000004,1.0
2020-09-11,45.67805710051236,-76.95468673152719,9.0,0,16.7,0.0,9.2,52.0,59.8,19.95714285714286,1.0
2021-08-12,47.3077000010383,-73.40080000039032,8.0,1,28.6,1.8,18.9,60.0,31.5,21.87142857142857,1.0
2019-05-11,46.24700667160137,-78.82441291326968,5.0,0,12.3,0.0,13.1,33.0,59.900000000000006,11.085714285714284,2.0
2021-08-15,47.64800000107206,-70.62030000044577,8.0,1,20.1,0.0,18.6,41.0,39.0,24.435714285714283,1.0
2019-07-11,47.59870000065359,-65.81050375643426,7.0,0,24.9,0.0,15.0,36.0,42.3,22.12142857142857,5.0
2023-06-05,46.19409999991512,-73.36210000031474,6.0,1,23.3,0.0,11.4,30.0,13.3,23.192857142857143,3.0
2021-06-07,49.48830000089568,-75.63130000030452,6.0,1,29.4,0.6,28.6,43.0,39.7,18.4,2.0
2020-07-03,53.38190000100072,-70.56529999971069,7.0,1,16.4,1.1,30.1,45.0,40.5,19.692857142857143,6.0
2023-06-02,49.38839999956036,-71.99080000011986,6.0,1,23.9,0.0,18.1,28.0,33.800000000000004,19.685714285714287,1.0
2020-09-24,45.04950000130832,-74.39120000035032,9.0,1,21.9,0.0,13.3,57.0,11.0,18.16428571428571,7.0
2018-07-26,51.62634581654785,-74.7748594536527,7.0,0,26.1,3.6,8.6,42.0,78.3,24.121428571428574,1.0
2024-08-24,53.968296445088455,-68.22215433811611,8.0,0,23.3,0.1,22.1,45.0,18.2,19.792857142857144,6.0
2024-06-19,51.83250000000004,-64.21499999999997,6.0,1,31.3,7.3,25.0,44.0,5.9,20.57142857142857,5.0
2019-05-25,50.859400001298425,-58.98859999920013,5.0,1,10.8,0.0,17.8,50.0,27.4,7.307142857142857,4.0
2018-07-08,56.89618484744311,-74.71999952686272,7.0,0,14.8,18.3,38.5,88.0,41.9,11.435714285714283,2.0
2022-09-16,58.13401307489478,-60.05219267838686,9.0,0,5.8,10.2,57.6,88.0,11.8,7.578571428571428,1.0
2021-06-20,48.56660000094488,-71.6203999996294,6.0,1,24.3,0.5,12.6,49.0,43.3,22.05714285714286,1.0
2022-05-09,46.440900000000056,-72.72519999999997,5.0,1,21.8,0.0,13.4,16.0,13.7,15.100000000000003,5.0
2018-05-20,47.22074175005064,-74.80426218840627,5.0,0,14.6,1.7,17.6,31.0,31.700000000000003,15.07142857142857,1.0
2021-07-09,47.13809084935346,-72.93116293055725,7.0,0,20.9,17.4,15.5,48.0,92.5,22.821428571428573,1.0
2023-08-17,56.17799011209672,-69.56843899499555,8.0,0,21.7,0.0,24.5,58.0,40.6,17.942857142857147,1.0
2023-05-06,48.03520000037975,-66.67499999975013,5.0,1,17.5,0.0,14.8,29.0,21.6,8.985714285714286,2.0
2021-09-19,48.15270000098171,-69.81420000028047,9.0,1,17.0,0.0,12.5,46.0,58.6,18.95714285714286,1.0
2019-05-22,47.5285430684204,-79.50204110007799,5.0,0,17.8,0.6,13.0,38.0,63.8,12.1,2.0
2022-08-26,49.308714474224985,-79.32780656980518,8.0,0,17.9,0.2,9.9,38.0,34.2,23.02142857142857,1.0
2024-06-19,49.68660000000006,-68.25179999999995,6.0,1,32.4,0.4,20.9,43.0,9.1,21.55,1.0
2022-09-28,52.7696779999983,-74.35354866512714,9.0,0,8.8,4.4,20.7,68.0,32.9,12.149999999999997,6.0
2024-07-11,48.746800000000064,-69.09919999999994,7.0,1,23.6,0.0,17.4,49.0,21.9,23.678571428571427,2.0
2019-06-17,49.94325629868147,-68.65145969073068,6.0,0,17.3,0.0,17.3,34.0,56.0,16.057142857142857,1.0
2022-06-13,57.29324347664067,-68.26028731211606,6.0,0,23.1,0.0,14.6,33.0,5.2,15.657142857142858,2.0
2023-06-01,50.16670000000505,-73.47330000039466,6.0,1,26.4,1.0,18.6,42.0,21.1,15.935714285714283,9.0
2021-06-07,49.82200000073672,-69.4613000005729,6.0,1,28.4,1.9,32.6,42.0,21.5,15.578571428571433,2.0
2021-09-26,57.26320130865565,-63.75387219706934,9.0,0,11.4,0.1,27.6,74.0,47.4,6.757142857142858,1.0
2019-08-03,46.26725167940892,-62.57774263098113,8.0,0,28.1,0.0,17.9,36.0,34.9,25.728571428571424,2.0
2024-06-19,48.37570000000005,-72.93269999999995,6.0,1,31.3,2.0,25.6,43.0,52.6,20.8,1.0
2019-05-16,52.54712413160079,-62.724913532186925,5.0,0,9.7,0.0,18.5,45.0,32.2,6.757142857142857,4.0
2019-06-09,46.30100000078182,-73.59159999958057,6.0,1,26.4,0.0,12.3,29.0,24.7,17.17142857142857,7.0
2022-05-14,45.61149999999992,-74.24779999999998,5.0,1,30.8,0.0,15.9,36.0,8.0,19.471428571428568,10.0
2024-08-26,46.84276438734992,-68.37364100674449,8.0,0,24.4,0.7,7.2,58.0,42.1,23.06428571428572,3.0
2021-09-12,45.96630000133675,-72.64319999956322,9.0,1,22.6,3.8,29.7,42.0,67.3,22.442857142857143,3.0
2018-05-01,50.05528504667239,-78.33944199287023,5.0,0,14.4,3.0,13.5,49.0,12.4,5.342857142857143,6.0
2019-07-08,49.81710000078134,-63.97020000016983,7.0,1,21.8,0.0,26.6,47.0,7.3,19.764285714285712,10.0
2022-05-02,45.88620000000003,-73.79669999999999,5.0,1,17.1,1.3,16.9,47.0,50.3,11.528571428571428,5.0
2021-08-17,46.47160000113515,-75.82290000028306,8.0,1,25.2,0.0,9.5,51.0,42.8,25.36428571428572,4.0
2021-06-14,49.35860000127603,-70.85059999981716,6.0,1,19.0,3.0,15.5,51.0,22.1,18.728571428571428,9.0
2023-07-05,54.63589999968531,-72.35759999984009,7.0,1,31.8,2.3,33.8,27.0,29.2,23.207142857142856,3.0
2024-08-13,48.54650000000004,-77.81829999999997,8.0,1,26.5,0.0,12.8,41.0,35.2,23.87857142857144,2.0
